Timestamp(ms),Current(uA)
39026.87,7.880
39026.88,7.793
39026.89,7.749
39026.9,7.749
39026.91,7.837
39026.92,7.793
39026.93,7.705
39026.94,7.793
39026.95,7.705
39026.96,7.705
39026.97,7.705
39026.98,7.880
39026.99,7.793
39027,7.837
39027.01,7.618
39027.02,7.880
39027.03,7.793
39027.04,7.662
39027.05,7.749
39027.06,7.662
39027.07,7.705
39027.08,7.662
39027.09,7.749
39027.1,7.705
39027.11,7.705
39027.12,7.574
39027.13,7.574
39027.14,7.574
39027.15,7.574
39027.16,7.749
39027.17,7.618
39027.18,7.749
39027.19,7.880
39027.2,7.924
39027.21,8.012
39027.22,8.012
39027.23,7.837
39027.24,7.880
39027.25,8.318
39027.26,8.231
39027.27,8.231
39027.28,8.231
39027.29,8.231
39027.3,8.187
39027.31,8.055
39027.32,8.012
39027.33,8.099
39027.34,8.099
39027.35,7.924
39027.36,7.924
39027.37,8.055
39027.38,8.099
39027.39,8.055
39027.4,7.968
39027.41,7.968
39027.42,8.055
39027.43,7.968
39027.44,7.968
39027.45,7.924
39027.46,7.968
39027.47,8.055
39027.48,7.968
39027.49,8.012
39027.5,7.924
39027.51,7.793
39027.52,7.749
39027.53,7.793
39027.54,7.749
39027.55,7.880
39027.56,7.793
39027.57,7.924
39027.58,8.055
39027.59,8.012
39027.6,7.968
39027.61,8.143
39027.62,8.231
39027.63,8.187
39027.64,8.055
39027.65,7.968
39027.66,7.924
39027.67,7.924
39027.68,8.187
39027.69,8.099
39027.7,8.187
39027.71,8.143
39027.72,8.187
39027.73,8.187
39027.74,8.362
39027.75,8.274
39027.76,8.187
39027.77,8.143
39027.78,7.968
39027.79,8.143
39027.8,8.143
39027.81,7.968
39027.82,7.924
39027.83,7.924
39027.84,8.099
39027.85,7.880
39027.86,7.924
39027.87,7.793
39027.88,7.793
39027.89,7.749
39027.9,7.837
39027.91,7.749
39027.92,7.968
39027.93,7.793
39027.94,7.924
39027.95,7.924
39027.96,8.012
39027.97,8.099
39027.98,7.968
39027.99,8.055
39028,8.187
39028.01,8.231
39028.02,8.187
39028.03,8.493
39028.04,8.581
39028.05,8.581
39028.06,8.581
39028.07,8.449
39028.08,8.493
39028.09,8.231
39028.1,8.362
39028.11,8.449
39028.12,8.318
39028.13,8.274
39028.14,8.143
39028.15,8.143
39028.16,8.231
39028.17,8.143
39028.18,8.274
39028.19,8.099
39028.2,8.187
39028.21,8.012
39028.22,7.924
39028.23,8.099
39028.24,8.055
39028.25,8.099
39028.26,8.099
39028.27,8.187
39028.28,8.012
39028.29,7.880
39028.3,7.837
39028.31,7.793
39028.32,7.880
39028.33,8.012
39028.34,7.924
