Timestamp(ms),Current(uA)
40959.24,7.574
40959.25,7.749
40959.26,7.618
40959.27,7.618
40959.28,7.618
40959.29,7.662
40959.3,7.530
40959.31,7.705
40959.32,7.880
40959.33,7.705
40959.34,7.793
40959.35,8.055
40959.36,7.837
40959.37,7.968
40959.38,8.055
40959.39,7.924
40959.4,7.968
40959.41,8.143
40959.42,7.968
40959.43,8.012
40959.44,7.968
40959.45,7.924
40959.46,8.012
40959.47,8.055
40959.48,7.924
40959.49,8.012
40959.5,8.012
40959.51,7.968
40959.52,8.012
40959.53,7.880
40959.54,7.880
40959.55,8.012
40959.56,8.012
40959.57,7.968
40959.58,7.968
40959.59,8.012
40959.6,7.968
40959.61,8.055
40959.62,7.968
40959.63,7.968
40959.64,8.012
40959.65,7.880
40959.66,8.012
40959.67,8.099
40959.68,7.880
40959.69,7.924
40959.7,7.749
40959.71,7.880
40959.72,7.924
40959.73,8.099
40959.74,8.187
40959.75,8.012
40959.76,8.187
40959.77,8.055
40959.78,8.055
40959.79,8.187
40959.8,8.143
40959.81,8.012
40959.82,8.187
40959.83,7.880
40959.84,8.012
40959.85,8.187
40959.86,7.968
40959.87,8.231
40959.88,8.187
40959.89,8.099
40959.9,8.143
40959.91,8.143
40959.92,8.231
40959.93,8.274
40959.94,8.318
40959.95,8.143
40959.96,8.143
40959.97,8.231
40959.98,8.012
40959.99,8.187
40960,8.099
40960.01,8.099
40960.02,8.055
40960.03,8.012
40960.04,8.012
40960.05,8.099
40960.06,7.968
40960.07,7.924
40960.08,7.968
40960.09,7.924
40960.1,7.968
40960.11,8.099
40960.12,8.012
40960.13,7.968
40960.14,8.012
40960.15,7.924
40960.16,7.924
40960.17,7.924
40960.18,8.099
40960.19,8.012
40960.2,8.099
40960.21,7.968
40960.22,8.012
40960.23,7.880
40960.24,7.880
40960.25,7.837
40960.26,7.793
40960.27,7.880
40960.28,7.705
40960.29,7.880
40960.3,7.968
40960.31,7.968
40960.32,8.099
40960.33,8.099
40960.34,8.012
40960.35,8.099
40960.36,8.099
40960.37,7.924
40960.38,8.099
40960.39,8.055
40960.4,8.099
40960.41,7.924
40960.42,7.968
40960.43,7.968
40960.44,7.968
40960.45,7.968
40960.46,8.055
40960.47,7.924
40960.48,7.968
40960.49,7.968
40960.5,8.012
40960.51,7.968
40960.52,7.924
40960.53,7.662
40960.54,7.793
40960.55,7.793
40960.56,7.705
40960.57,7.662
40960.58,7.793
40960.59,7.749
40960.6,7.793
40960.61,7.837
40960.62,7.793
40960.63,7.968
40960.64,7.924
40960.65,7.837
40960.66,7.837
40960.67,7.705
40960.68,7.880
40960.69,7.968
40960.7,8.055
40960.71,7.968
40960.72,7.968
40960.73,7.880
40960.74,8.012
40960.75,7.837
40960.76,7.924
40960.77,7.880
40960.78,7.749
40960.79,7.705
40960.8,7.837
40960.81,7.837
40960.82,7.793
40960.83,7.705
40960.84,7.793
40960.85,7.880
40960.86,8.012
40960.87,8.318
40960.88,8.274
40960.89,8.274
40960.9,8.143
40960.91,8.187
40960.92,8.143
40960.93,8.055
40960.94,8.187
40960.95,7.968
40960.96,7.924
40960.97,7.968
40960.98,7.924
40960.99,7.968
40961,7.705
40961.01,7.968
40961.02,7.924
40961.03,7.924
40961.04,7.749
40961.05,7.968
40961.06,8.012
40961.07,8.012
40961.08,8.099
40961.09,8.143
40961.1,8.187
40961.11,8.187
40961.12,8.143
