Timestamp(ms),Current(uA)
41462.55,8.187
41462.56,8.055
41462.57,8.187
41462.58,8.231
41462.59,8.231
41462.6,8.187
41462.61,8.187
41462.62,8.143
41462.63,8.231
41462.64,8.143
41462.65,8.143
41462.66,8.231
41462.67,8.318
41462.68,8.406
41462.69,8.537
41462.7,8.231
41462.71,8.318
41462.72,8.143
41462.73,8.143
41462.74,8.187
41462.75,8.143
41462.76,8.143
41462.77,8.187
41462.78,8.274
41462.79,8.099
41462.8,8.099
41462.81,7.924
41462.82,8.099
41462.83,8.012
41462.84,7.968
41462.85,7.793
41462.86,7.837
41462.87,7.793
41462.88,7.793
41462.89,7.749
41462.9,7.705
41462.91,7.662
41462.92,7.662
41462.93,7.705
41462.94,7.705
41462.95,7.705
41462.96,7.880
41462.97,7.924
41462.98,7.880
41462.99,7.837
41463,7.880
41463.01,7.793
41463.02,7.880
41463.03,7.924
41463.04,7.968
41463.05,8.187
41463.06,8.099
41463.07,8.231
41463.08,7.968
41463.09,7.968
41463.1,8.055
41463.11,8.055
41463.12,7.968
41463.13,7.968
41463.14,7.968
41463.15,8.099
41463.16,8.012
41463.17,8.012
41463.18,8.012
41463.19,8.012
41463.2,8.012
41463.21,7.793
41463.22,8.055
41463.23,7.880
41463.24,8.012
41463.25,7.968
41463.26,7.968
41463.27,7.880
41463.28,8.187
41463.29,8.055
41463.3,8.012
41463.31,8.187
41463.32,8.012
41463.33,7.924
41463.34,7.924
41463.35,8.012
41463.36,7.793
41463.37,7.837
41463.38,7.705
41463.39,7.837
41463.4,7.793
41463.41,7.837
41463.42,7.793
41463.43,7.749
41463.44,7.705
41463.45,7.574
41463.46,7.574
41463.47,7.749
41463.48,7.618
41463.49,7.662
41463.5,7.793
41463.51,7.968
41463.52,7.880
41463.53,8.012
41463.54,7.968
41463.55,7.968
41463.56,7.968
41463.57,7.924
41463.58,7.924
41463.59,8.012
41463.6,7.924
41463.61,7.793
41463.62,7.837
41463.63,7.705
41463.64,7.793
41463.65,7.880
41463.66,7.924
41463.67,7.924
41463.68,8.055
41463.69,8.187
41463.7,8.099
41463.71,8.187
41463.72,8.012
41463.73,7.924
41463.74,7.968
41463.75,7.968
41463.76,8.012
41463.77,7.924
41463.78,7.880
41463.79,7.924
41463.8,7.749
41463.81,7.749
41463.82,7.793
41463.83,7.705
41463.84,7.793
41463.85,7.924
41463.86,7.793
41463.87,7.705
41463.88,7.705
41463.89,7.705
41463.9,7.880
41463.91,7.880
41463.92,7.793
41463.93,7.968
41463.94,7.837
41463.95,8.012
41463.96,7.924
41463.97,7.837
41463.98,7.793
41463.99,7.793
41464,7.793
41464.01,7.705
41464.02,7.749
41464.03,7.793
41464.04,7.837
41464.05,7.793
41464.06,7.837
41464.07,7.837
41464.08,7.749
41464.09,7.574
41464.1,7.662
41464.11,7.530
41464.12,7.618
41464.13,7.530
41464.14,7.793
41464.15,7.749
41464.16,7.749
41464.17,7.837
41464.18,8.012
41464.19,7.793
41464.2,7.880
41464.21,7.880
41464.22,7.880
41464.23,7.837
41464.24,7.924
41464.25,7.968
41464.26,8.012
41464.27,8.012
41464.28,7.924
41464.29,8.055
41464.3,7.968
41464.31,7.837
41464.32,7.880
41464.33,8.143
41464.34,7.968
41464.35,8.055
41464.36,7.968
41464.37,8.055
41464.38,8.012
41464.39,7.880
41464.4,7.705
41464.41,7.749
41464.42,7.662
41464.43,7.662
41464.44,7.530
41464.45,7.530
41464.46,7.487
41464.47,7.443
41464.48,7.574
41464.49,7.837
41464.5,7.618
41464.51,7.749
41464.52,7.618
41464.53,7.837
41464.54,7.705
41464.55,7.749
41464.56,7.837
41464.57,7.793
41464.58,7.837
41464.59,7.705
41464.6,7.618
41464.61,7.574
41464.62,7.705
41464.63,7.618
41464.64,7.574
41464.65,7.705
41464.66,7.530
41464.67,7.837
41464.68,7.705
41464.69,7.574
41464.7,7.749
41464.71,7.749
41464.72,7.749
41464.73,7.618
41464.74,7.793
41464.75,7.837
41464.76,7.924
41464.77,7.837
41464.78,7.880
41464.79,7.662
41464.8,7.837
41464.81,7.749
41464.82,7.749
41464.83,7.749
41464.84,7.662
41464.85,7.574
41464.86,7.574
41464.87,7.662
41464.88,7.618
41464.89,7.793
41464.9,7.749
41464.91,7.793
41464.92,7.924
41464.93,7.749
41464.94,7.924
41464.95,7.793
41464.96,7.924
41464.97,7.880
41464.98,7.924
41464.99,7.968
41465,7.968
41465.01,7.880
41465.02,7.793
41465.03,7.880
41465.04,7.793
41465.05,7.793
41465.06,7.968
41465.07,7.880
41465.08,7.924
41465.09,7.880
41465.1,8.012
41465.11,7.837
41465.12,7.880
41465.13,7.749
41465.14,7.924
41465.15,7.837
41465.16,7.705
41465.17,7.837
41465.18,7.924
41465.19,7.837
41465.2,7.749
41465.21,7.662
41465.22,7.793
41465.23,7.837
41465.24,7.749
41465.25,7.837
41465.26,7.705
41465.27,8.055
41465.28,7.793
41465.29,8.012
41465.3,7.924
41465.31,7.749
41465.32,7.749
41465.33,7.662
41465.34,7.793
41465.35,7.793
41465.36,7.880
41465.37,8.055
41465.38,7.880
41465.39,7.837
41465.4,7.968
41465.41,7.837
41465.42,7.793
41465.43,8.099
41465.44,8.012
41465.45,8.055
41465.46,8.143
41465.47,8.187
41465.48,8.055
41465.49,8.055
41465.5,7.968
41465.51,7.793
41465.52,7.924
41465.53,7.880
41465.54,8.012
41465.55,7.924
41465.56,7.837
41465.57,7.924
41465.58,7.837
41465.59,7.880
41465.6,7.793
41465.61,7.968
41465.62,7.968
41465.63,7.968
41465.64,7.793
41465.65,7.837
41465.66,7.837
41465.67,7.924
41465.68,7.749
41465.69,7.749
41465.7,7.749
41465.71,7.793
41465.72,7.793
41465.73,7.749
41465.74,7.662
41465.75,7.793
41465.76,7.880
41465.77,7.793
41465.78,7.793
41465.79,7.968
41465.8,7.880
41465.81,7.793
41465.82,8.012
41465.83,7.924
41465.84,7.837
41465.85,7.924
41465.86,8.187
41465.87,7.837
41465.88,7.837
41465.89,7.968
41465.9,7.793
41465.91,7.837
41465.92,8.099
41465.93,7.924
41465.94,7.968
41465.95,8.055
41465.96,8.012
41465.97,8.187
41465.98,8.055
41465.99,7.880
41466,7.880
41466.01,7.793
41466.02,7.880
41466.03,7.837
41466.04,7.924
41466.05,8.012
41466.06,7.880
41466.07,7.793
41466.08,7.924
41466.09,7.880
41466.1,7.880
41466.11,7.793
41466.12,7.837
41466.13,7.793
41466.14,7.880
41466.15,7.924
41466.16,7.793
41466.17,7.793
41466.18,7.749
41466.19,7.705
41466.2,7.618
41466.21,7.705
41466.22,7.793
41466.23,7.574
41466.24,7.837
41466.25,7.749
41466.26,7.530
41466.27,7.705
41466.28,7.530
41466.29,7.618
41466.3,7.749
41466.31,7.618
41466.32,7.968
41466.33,7.705
41466.34,7.837
41466.35,7.880
41466.36,7.837
41466.37,7.662
41466.38,7.618
41466.39,7.662
41466.4,7.618
41466.41,7.837
41466.42,7.749
41466.43,7.880
41466.44,7.705
41466.45,7.574
41466.46,7.793
41466.47,7.793
41466.48,7.705
41466.49,7.793
