Timestamp(ms),Current(uA)
38798.14,7.705
38798.15,7.793
38798.16,7.880
38798.17,7.968
38798.18,7.924
38798.19,7.924
38798.2,7.793
38798.21,7.924
38798.22,7.880
38798.23,7.749
38798.24,7.793
38798.25,7.837
38798.26,7.793
38798.27,7.880
38798.28,7.924
38798.29,7.924
38798.3,8.099
38798.31,8.187
38798.32,8.187
38798.33,8.231
38798.34,8.143
38798.35,8.099
38798.36,8.099
38798.37,8.318
38798.38,8.187
38798.39,8.143
38798.4,8.187
38798.41,8.099
38798.42,8.274
38798.43,8.231
38798.44,8.187
38798.45,8.099
38798.46,8.012
38798.47,8.055
38798.48,8.055
38798.49,8.055
38798.5,8.012
38798.51,7.924
38798.52,7.968
38798.53,8.012
38798.54,8.055
38798.55,8.055
38798.56,8.099
38798.57,8.143
38798.58,8.012
38798.59,8.143
38798.6,7.924
38798.61,8.055
38798.62,7.968
38798.63,7.924
38798.64,8.012
38798.65,7.968
38798.66,8.012
38798.67,8.012
38798.68,7.837
38798.69,7.749
38798.7,7.924
38798.71,7.924
38798.72,7.837
38798.73,7.968
38798.74,8.012
38798.75,8.012
38798.76,8.012
38798.77,8.187
38798.78,7.968
38798.79,8.099
38798.8,8.187
38798.81,8.099
38798.82,8.274
38798.83,8.362
38798.84,8.231
38798.85,8.187
38798.86,7.968
38798.87,8.187
38798.88,8.187
38798.89,8.187
38798.9,8.055
38798.91,7.968
38798.92,8.143
38798.93,8.143
38798.94,7.968
38798.95,8.099
38798.96,8.187
38798.97,8.231
38798.98,8.143
38798.99,8.012
38799,7.880
38799.01,7.968
38799.02,7.968
38799.03,7.880
38799.04,8.055
38799.05,7.968
38799.06,8.012
38799.07,7.924
38799.08,8.012
38799.09,7.924
38799.1,7.880
38799.11,7.793
38799.12,7.968
38799.13,7.749
38799.14,7.924
38799.15,7.705
38799.16,7.793
38799.17,7.793
38799.18,7.880
38799.19,7.880
38799.2,7.837
38799.21,7.924
38799.22,7.793
38799.23,7.880
38799.24,7.749
38799.25,7.793
38799.26,7.705
38799.27,7.837
38799.28,7.705
38799.29,7.705
38799.3,7.705
38799.31,7.618
38799.32,7.705
38799.33,7.924
38799.34,7.880
38799.35,7.793
38799.36,7.793
38799.37,7.749
38799.38,7.880
38799.39,7.749
38799.4,8.012
38799.41,7.793
38799.42,7.837
38799.43,7.880
38799.44,7.793
38799.45,7.793
38799.46,7.793
38799.47,7.749
38799.48,7.749
38799.49,7.749
38799.5,7.793
38799.51,7.618
38799.52,7.749
38799.53,7.749
38799.54,7.749
38799.55,7.924
38799.56,7.793
38799.57,7.880
38799.58,7.837
38799.59,7.793
38799.6,7.662
38799.61,7.793
38799.62,7.574
38799.63,7.662
38799.64,7.793
38799.65,7.880
38799.66,7.530
38799.67,7.662
38799.68,7.662
38799.69,7.837
38799.7,7.662
38799.71,7.705
38799.72,7.837
38799.73,8.099
38799.74,7.880
38799.75,8.012
38799.76,8.012
38799.77,7.880
38799.78,7.793
38799.79,7.924
38799.8,7.837
38799.81,7.837
38799.82,7.837
38799.83,7.749
38799.84,7.880
38799.85,7.793
38799.86,7.924
38799.87,7.880
38799.88,8.012
38799.89,7.880
38799.9,8.187
38799.91,8.099
38799.92,8.055
38799.93,7.968
38799.94,7.880
38799.95,7.924
38799.96,7.924
38799.97,8.055
38799.98,8.143
38799.99,7.880
38800,7.968
38800.01,7.924
38800.02,7.793
38800.03,7.837
38800.04,7.837
38800.05,7.705
38800.06,7.837
38800.07,7.749
38800.08,7.793
38800.09,7.837
38800.1,7.705
38800.11,7.837
38800.12,7.574
38800.13,7.618
38800.14,7.662
38800.15,7.749
38800.16,7.880
38800.17,7.968
38800.18,7.793
38800.19,7.968
38800.2,7.968
38800.21,7.880
38800.22,7.968
38800.23,8.055
38800.24,8.012
38800.25,8.099
38800.26,8.143
38800.27,7.924
38800.28,7.968
38800.29,7.793
38800.3,8.012
38800.31,8.055
38800.32,8.055
38800.33,7.880
38800.34,7.793
38800.35,8.012
38800.36,7.880
38800.37,7.793
38800.38,7.880
38800.39,7.793
38800.4,7.749
38800.41,7.880
38800.42,7.837
38800.43,7.662
38800.44,7.793
38800.45,7.618
38800.46,7.618
38800.47,7.487
38800.48,7.618
38800.49,7.487
38800.5,7.443
38800.51,7.487
38800.52,7.574
38800.53,7.443
38800.54,7.574
38800.55,7.618
38800.56,7.662
38800.57,7.793
38800.58,7.749
38800.59,7.837
38800.6,7.749
38800.61,7.837
38800.62,7.837
38800.63,7.749
38800.64,7.705
38800.65,7.749
38800.66,8.012
38800.67,7.880
38800.68,7.749
38800.69,7.574
38800.7,7.749
38800.71,7.705
38800.72,7.705
38800.73,7.705
38800.74,7.705
38800.75,7.662
38800.76,7.705
38800.77,7.793
38800.78,7.662
38800.79,7.837
38800.8,7.705
38800.81,7.705
38800.82,7.662
38800.83,7.793
38800.84,7.793
38800.85,7.837
38800.86,7.749
38800.87,7.837
38800.88,7.618
38800.89,7.749
38800.9,7.880
38800.91,7.837
38800.92,7.793
38800.93,8.012
38800.94,8.187
38800.95,8.099
38800.96,8.231
38800.97,8.187
38800.98,8.187
38800.99,8.055
38801,8.099
38801.01,8.099
38801.02,8.143
38801.03,8.231
38801.04,8.143
38801.05,8.143
38801.06,8.143
38801.07,8.187
38801.08,8.231
38801.09,8.143
38801.1,8.231
38801.11,8.055
38801.12,8.143
38801.13,8.187
38801.14,8.055
38801.15,7.924
38801.16,8.099
38801.17,7.793
38801.18,7.880
38801.19,8.099
38801.2,7.968
38801.21,7.705
38801.22,7.837
38801.23,7.749
38801.24,7.924
38801.25,7.749
38801.26,7.837
38801.27,7.924
38801.28,7.880
38801.29,8.099
38801.3,8.187
38801.31,8.274
38801.32,8.099
38801.33,8.187
38801.34,8.187
38801.35,8.012
38801.36,7.968
38801.37,8.055
38801.38,8.143
38801.39,7.968
38801.4,8.055
38801.41,7.837
38801.42,7.968
38801.43,7.968
38801.44,7.793
38801.45,8.012
38801.46,7.793
38801.47,8.012
38801.48,8.055
38801.49,7.880
38801.5,7.837
38801.51,7.749
38801.52,7.880
38801.53,7.793
38801.54,7.837
38801.55,7.618
38801.56,7.837
38801.57,7.749
38801.58,7.705
38801.59,7.705
38801.6,7.837
38801.61,7.793
38801.62,7.880
38801.63,7.749
38801.64,7.793
38801.65,7.837
38801.66,7.793
38801.67,7.837
38801.68,7.880
38801.69,7.880
38801.7,7.968
38801.71,7.837
38801.72,7.793
38801.73,7.880
38801.74,7.968
38801.75,7.924
38801.76,7.924
38801.77,7.793
38801.78,7.968
38801.79,7.837
38801.8,7.968
38801.81,7.924
38801.82,7.924
38801.83,8.012
38801.84,8.012
38801.85,8.012
38801.86,7.880
38801.87,7.837
38801.88,7.662
38801.89,7.749
38801.9,7.749
38801.91,7.793
38801.92,7.705
38801.93,7.880
38801.94,7.837
38801.95,8.012
38801.96,8.099
38801.97,7.968
38801.98,7.968
38801.99,8.099
38802,7.968
38802.01,8.099
38802.02,7.968
38802.03,7.968
38802.04,8.187
38802.05,8.055
38802.06,8.099
38802.07,8.055
38802.08,8.055
38802.09,7.924
38802.1,7.749
38802.11,7.749
38802.12,7.793
38802.13,7.793
38802.14,7.749
38802.15,7.749
38802.16,7.924
38802.17,7.880
38802.18,7.749
38802.19,7.793
38802.2,7.837
38802.21,7.924
38802.22,7.924
38802.23,7.924
38802.24,7.749
38802.25,7.924
38802.26,7.793
38802.27,7.837
38802.28,7.749
38802.29,7.749
38802.3,7.793
38802.31,7.880
38802.32,7.705
38802.33,7.662
38802.34,7.880
38802.35,7.705
38802.36,7.837
38802.37,7.793
38802.38,7.749
38802.39,7.749
38802.4,7.968
38802.41,7.705
38802.42,7.749
38802.43,8.012
38802.44,7.749
38802.45,7.793
38802.46,7.793
38802.47,7.793
38802.48,7.793
38802.49,7.749
38802.5,7.749
38802.51,7.662
38802.52,7.749
38802.53,7.924
38802.54,8.143
38802.55,8.099
38802.56,8.274
38802.57,8.318
38802.58,8.318
38802.59,8.143
38802.6,8.274
38802.61,8.143
38802.62,8.012
38802.63,8.099
38802.64,8.187
38802.65,8.099
38802.66,8.055
38802.67,8.099
38802.68,7.924
38802.69,8.012
38802.7,7.793
38802.71,7.749
38802.72,7.793
38802.73,7.880
38802.74,7.793
38802.75,7.924
38802.76,7.793
38802.77,7.793
38802.78,7.924
38802.79,7.793
38802.8,7.837
38802.81,7.793
38802.82,7.880
38802.83,7.837
38802.84,7.749
38802.85,7.837
38802.86,7.749
38802.87,7.924
38802.88,8.143
38802.89,8.231
38802.9,8.187
38802.91,8.274
38802.92,8.231
38802.93,8.187
38802.94,8.099
38802.95,8.055
38802.96,8.143
38802.97,8.187
38802.98,8.055
38802.99,8.143
38803,8.099
38803.01,8.143
38803.02,8.055
38803.03,7.924
38803.04,8.012
38803.05,8.055
38803.06,7.968
38803.07,7.924
38803.08,7.793
38803.09,7.793
38803.1,8.012
38803.11,7.837
38803.12,7.793
38803.13,7.880
38803.14,7.793
38803.15,7.837
38803.16,7.924
38803.17,7.618
38803.18,7.793
38803.19,7.705
38803.2,7.749
38803.21,7.749
38803.22,7.749
38803.23,7.749
38803.24,7.705
38803.25,7.793
38803.26,7.880
38803.27,7.837
38803.28,7.793
38803.29,7.837
38803.3,7.705
38803.31,7.793
38803.32,7.662
38803.33,7.618
38803.34,7.443
38803.35,7.749
38803.36,7.574
38803.37,7.618
38803.38,7.618
38803.39,7.530
38803.4,7.749
38803.41,7.662
38803.42,7.662
38803.43,7.530
38803.44,7.574
38803.45,7.530
38803.46,7.705
38803.47,7.793
38803.48,7.837
38803.49,7.662
38803.5,7.837
38803.51,7.968
38803.52,7.924
38803.53,7.880
38803.54,8.012
38803.55,8.055
38803.56,8.012
38803.57,7.924
38803.58,8.099
38803.59,7.880
38803.6,8.187
38803.61,8.099
38803.62,7.924
38803.63,8.055
38803.64,7.968
38803.65,7.924
38803.66,7.837
38803.67,7.837
38803.68,7.837
38803.69,7.749
38803.7,7.705
38803.71,7.705
38803.72,7.705
38803.73,7.749
38803.74,7.749
38803.75,7.705
38803.76,7.924
38803.77,7.837
38803.78,7.880
38803.79,7.968
38803.8,7.837
38803.81,7.880
38803.82,7.837
38803.83,7.924
38803.84,7.880
38803.85,7.924
38803.86,7.837
38803.87,7.880
38803.88,8.012
38803.89,7.880
38803.9,7.880
38803.91,8.055
38803.92,8.099
38803.93,8.143
38803.94,8.143
38803.95,8.143
38803.96,8.055
38803.97,8.187
38803.98,8.055
38803.99,7.968
38804,7.924
38804.01,7.968
38804.02,8.012
38804.03,7.968
38804.04,7.880
38804.05,7.924
38804.06,7.705
38804.07,7.705
38804.08,7.662
38804.09,7.749
38804.1,7.618
38804.11,7.749
38804.12,7.793
38804.13,7.924
38804.14,7.837
38804.15,7.837
38804.16,7.837
38804.17,7.968
38804.18,7.837
38804.19,7.749
38804.2,7.662
38804.21,7.618
38804.22,7.749
38804.23,7.749
38804.24,7.705
38804.25,7.793
38804.26,8.055
38804.27,7.837
38804.28,8.012
38804.29,7.880
38804.3,7.837
38804.31,7.880
38804.32,7.793
38804.33,7.837
38804.34,7.793
38804.35,7.705
38804.36,7.749
38804.37,7.793
38804.38,7.968
38804.39,7.968
38804.4,8.099
38804.41,8.099
38804.42,7.968
38804.43,8.099
38804.44,8.012
38804.45,8.055
38804.46,8.012
38804.47,8.231
38804.48,8.274
38804.49,8.362
38804.5,8.143
38804.51,8.099
38804.52,8.012
38804.53,8.143
38804.54,8.055
38804.55,8.274
